alt,p_value,conf_low,conf_high,mean of x
two.sided,0.233450765705633,0.718,1.131,0.925
two.sided,5.02151412831778e-06,0.916,1.088,1.002
greater,0.116725382852817,0.752,Inf,0.925
greater,2.51075706415889e-06,0.93,Inf,1.002
less,0.883274617147183,-Inf,1.097,0.925
less,0.999997489242936,-Inf,1.074,1.002
